id,name,alias,type,sex,lineage_scope,birth_year,death_year,traditional_life_years,date_quality,date_quality_detail,date_note,display_note,note
p_okinaga,息長宿禰王,気長宿禰王,prince,male,imperial,,,,U_undated,genealogical_tradition;source_conflict_uncertain,『古事記』では彦坐王―山代之大筒木真若王―迦邇米雷王を経る開化天皇4世孫で、神功皇后の父。『日本書紀』神功皇后紀は神功皇后を開化天皇の曾孫とするため、両書で系譜の世代数が一致しない。生没年不詳。,古事記系譜で開化天皇4世孫・神功皇后の父,『古事記』では迦邇米雷王の皇子で開化天皇4世孫・神功皇后の父。『日本書紀』では気長宿禰王と表記。
t010,10 崇神天皇,御間城入彦五十瓊殖尊,tenno,male,imperial,,,前148–前30,T_traditional,nihon_shoki_based;chronology_conversion;historicity_debated,『日本書紀』系の伝承紀年。紀年論上、史実年代とはみなさない,実在性が論じられる最初期の天皇,実在性が論じられる最初期の天皇
t011,11 垂仁天皇,活目入彦五十狭茅尊,tenno,male,imperial,,,前69–70,T_traditional,nihon_shoki_based;chronology_conversion;historicity_debated,『日本書紀』系の伝承紀年。紀年論上、史実年代とはみなさない,,
p_iwatsukuwake,磐衝別命,石衝別王,prince,male,imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only,記紀にみえる垂仁天皇皇子。『日本書紀』垂仁34年条では綺戸辺との間に生まれ、三尾君の祖とされる。『上宮記』逸文では継体天皇母・振媛へ至る母系祖先として接続される。生没年不詳。,垂仁天皇皇子・『上宮記』逸文では振媛母系祖先,垂仁天皇皇子・『上宮記』逸文では振媛母系祖先
p_iwakiwake,磐城別,伊波智和希,prince,male,imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only,『日本書紀』にみえる垂仁天皇孫で、磐衝別命の子。『国造本紀』では雄略天皇期の羽咋国造に関係する伝承がある。『上宮記』逸文の継体系譜にも接続される。生没年不詳。,磐衝別命の子・『上宮記』逸文所伝,磐衝別命の子・『上宮記』逸文所伝
p_iwakoriwake,磐凝別,伊波己里和氣,prince,male,imperial,,,,U_undated,genealogical_tradition,『上宮記』逸文に伝わる継体天皇母系の祖先で、磐城別の子とされる。独立した生没年資料は確認しにくいため、系譜伝承上の人物として扱う。,磐城別の子・『上宮記』逸文所伝,磐城別の子・『上宮記』逸文所伝
p_mawakake,真稚介,麻和加介,prince,male,imperial,,,,U_undated,genealogical_tradition,『上宮記』逸文に伝わる継体天皇母系の祖先で、磐凝別の子とされる。独立した生没年資料は確認しにくいため、系譜伝承上の人物として扱う。,磐凝別の子・『上宮記』逸文所伝,磐凝別の子・『上宮記』逸文所伝
p_akahachikimi,赤蜂君,阿加波智君,prince,male,imperial,,,,U_undated,genealogical_tradition,『上宮記』逸文に伝わる継体天皇母系の祖先で、真稚介の子とされる。独立した生没年資料は確認しにくいため、系譜伝承上の人物として扱う。,真稚介の子・『上宮記』逸文所伝,真稚介の子・『上宮記』逸文所伝
p_obachikimi,小蜂君,乎波智君,prince,male,imperial,,,,U_undated,genealogical_tradition,『上宮記』逸文に伝わる継体天皇母系の人物で、赤蜂君の子・振媛の父とされる。独立した生没年資料は確認しにくいため、系譜伝承上の人物として扱う。,赤蜂君の子・振媛の父・『上宮記』逸文所伝,赤蜂君の子・振媛の父・『上宮記』逸文所伝
p_furuhime,振媛,布利比彌命,princess,female,imperial,,,,U_undated,historical_period_known;genealogical_tradition,生没年不詳。人物辞典では5世紀末の人物。彦主人王の妃・継体天皇の母とされる。,小蜂君娘・継体天皇の母・『上宮記』逸文所伝,小蜂君の娘・彦主人王妃・継体天皇の母・『上宮記』逸文所伝
u_hikoushino_furuhime,,,marriage,,,,,,,,,彦主人王・振媛の婚姻等関係節点,彦主人王・振媛の婚姻等関係節点
t012,12 景行天皇,大足彦忍代別尊,tenno,male,imperial,,,前13–130,T_traditional,nihon_shoki_based;chronology_conversion;historicity_debated,『日本書紀』系の伝承紀年。紀年論上、史実年代とはみなさない,,
p_yasakairihiko,八坂入彦命,八坂之入日子命,prince,male,imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only,記・紀にみえる崇神天皇皇子。『日本書紀』景行4年条で、娘の八坂入媛が景行天皇の妃となる系譜に現れる。生没年不詳。,崇神天皇皇子・八坂入媛命の父,崇神天皇皇子・八坂入媛命の父
p_yasakairihime,八坂入媛命,八尺之入日売命,princess,female,imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only,記・紀にみえる景行天皇妃・皇后。『日本書紀』では景行52年に皇后、成務2年に皇太后となったとされる。生没年不詳で、これらの年次は記紀の伝承紀年として扱う。,八坂入彦命娘・五百城入彦皇子の母,八坂入彦命の娘・景行天皇皇后・五百城入彦皇子らの母
u_keiko_yasakairihime,,,marriage,,,,,,,,,景行天皇・八坂入媛命の婚姻等関係節点,景行天皇・八坂入媛命の婚姻等関係節点
p_iokiirihiko,五百城入彦皇子,五百木之入日子命,prince,male,imperial,,,,U_undated,genealogical_tradition,記・紀にみえる景行天皇皇子。母は八坂入媛。『古事記』では品陀真若王の父とされる。生没年不詳。,景行天皇皇子・母は八坂入媛命・品陀真若王の父,景行天皇皇子・母は八坂入媛命・品陀真若王の父
p_hondamawaka,品陀真若王,,prince,male,imperial,,,,U_undated,genealogical_tradition;source_conflict_uncertain,『古事記』にみえる景行天皇孫。五百木之入日子命（五百城入彦皇子）の子で、娘3人を応神天皇の妃とし、次女中日売命が仁徳天皇を生んだとする。生没年不詳。王統をつなぐための系譜構成とみる見解もある。,五百城入彦皇子の子・仲姫命の父,五百城入彦皇子の子・仲姫命の父
p_nakatsuhime,仲姫命,中日売命,princess,female,imperial,,,,U_undated,genealogical_tradition;chronicle_activity_only,記・紀にみえる応神天皇皇后。品陀真若王の次女。『日本書紀』では応神2年に皇后となり、仁徳天皇らを生んだとされる。生没年不詳。,品陀真若王の娘・応神天皇皇后・仁徳天皇の母,品陀真若王の娘・応神天皇皇后・仁徳天皇の母
u_ojin_nakatsuhime,,,marriage,,,,,,,,,応神天皇・仲姫命の婚姻等関係節点,応神天皇・仲姫命の婚姻等関係節点
p_yamatotakeru,日本武尊,小碓尊,prince,male,imperial,,,,U_undated,legendary_or_mythic;genealogical_tradition,生没年不詳。記紀による伝説的英雄で、景行天皇皇子とされる。絶対年代を生没年として採用しない。,景行天皇皇子・東征・西征伝承,景行天皇皇子・東征・西征伝承
p_futajinoirihime,両道入姫命,石衝毘売命,princess,female,imperial,,,,U_undated,genealogical_tradition,記紀にみえる垂仁天皇皇女。『日本書紀』では日本武尊の妃となり、仲哀天皇らを生んだとされる。『古事記』では布多遅能伊理毘売命。生没年不詳。,垂仁天皇皇女・日本武尊妃・仲哀天皇の母,垂仁天皇皇女・日本武尊妃・仲哀天皇の母
u_yamatotakeru_futajinoirihime,,,marriage,,,,,,,,,日本武尊・両道入姫命の婚姻等関係節点,日本武尊・両道入姫命の婚姻等関係節点
t013,13 成務天皇,稚足彦尊,tenno,male,imperial,,,84–190,T_traditional,nihon_shoki_based;chronology_conversion;historicity_debated,『日本書紀』系の伝承紀年。実在性・年代には議論がある,景行天皇の皇子（日本武尊の異母弟）,景行天皇皇子（日本武尊の異母弟）
t014,14 仲哀天皇,足仲彦尊,tenno,male,imperial,,,149?–200,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth;historicity_debated,『日本書紀』系の伝承紀年。生年換算に不確実性。実在性にも議論がある,日本武尊第二男子・景行天皇孫,景行天皇孫（日本武尊第二皇子・実在性に疑問符あり）
u_chuai_jingu,,,marriage,,,,,,,,,仲哀天皇・神功皇后の婚姻等関係節点,仲哀天皇・神功皇后の婚姻等関係節点
p_jingu,神功皇后,気長足姫尊,princess,female,imperial,,,170–269,T_traditional,nihon_shoki_based;chronology_conversion;historicity_debated,『日本書紀』系の伝承紀年。成務天皇40年（170）生・神功皇后摂政69年（269）没とされる。記紀伝承上の人物で、実在性・絶対年代には大きな問題がある。 『日本書紀』は神功皇后を開化天皇の曾孫と記す一方、『古事記』は彦坐王―山代之大筒木真若王―迦邇米雷王―息長宿禰王を経る系譜を載せ、世代数に差がある。,摂政・旧来は歴代天皇に列す,摂政（準・女性天皇枠/実在や事績に諸説あり）・明治時代までは歴代天皇の一人とされた
t015,15 応神天皇,誉田別尊,tenno,male,imperial,,,200–310,T_traditional,nihon_shoki_based;chronology_conversion;historicity_debated,『日本書紀』系の伝承紀年。応神紀の絶対年代には紀年論上の問題がある,,
p_wakasako,稚野毛二派皇子,若沼毛二俣王・若野毛二俣王,prince,male,imperial,,,,U_undated,genealogical_tradition,生没年不詳。記紀にみえる応神天皇皇子。『上宮記』系譜では継体天皇へ続く父系祖先に位置づけられる。,応神天皇皇子・継体の5代祖,応神天皇皇子・継体の5代祖
p_ohoji,意富富杼王,大郎子,prince,male,imperial,,,,U_undated,genealogical_tradition,生没年不詳。『古事記』および『上宮記』系譜にみえる王で、稚野毛二派皇子の子・乎非王の父とされる。絶対年代は採用しない。,2世孫,2世孫
p_oshi,乎非王,,prince,male,imperial,,,,U_undated,genealogical_tradition,生没年不詳。『上宮記』逸文にみえる系譜上の王で、意富富杼王の子・彦主人王の父とされる。絶対年代は採用しない。,3世孫,3世孫
p_hikoushino,彦主人王,汗斯王,prince,male,imperial,,,,U_undated,historical_period_known;genealogical_tradition,生没年不詳。『日本書紀』では継体天皇の父。人物辞典では5世紀末の人物とされ、継体天皇幼年時に没したと伝える。,4世孫,4世孫
t026,26 継体天皇,男大跡王,tenno,male,imperial,,,450?–531?/534?,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth;disputed_death_t,『日本書紀』系の伝承紀年。継体天皇の没年は531年・534年など異説があり確定しない,応神天皇5世孫・出自・皇位継承に諸説あり,応神天皇5世孫・出自・皇位継承に諸説あり
t016,16 仁徳天皇,大鷦鷯尊,tenno,male,imperial,,,257–399,T_traditional,nihon_shoki_based;chronology_conversion;historicity_debated,『日本書紀』系の伝承年譜。史実上の絶対年代とは扱わない,,
t017,17 履中天皇,大兄去来穂別尊,tenno,male,imperial,,,336?–405,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth,『日本書紀』系の伝承年譜。生年換算に不確実性,仁徳天皇第一皇子,仁徳天皇第一皇子
t018,18 反正天皇,多遅比瑞歯別尊,tenno,male,imperial,,,336?–410,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth;historicity_debated,伝承年譜上の換算値。日本大百科全書では生没年不詳とするため確定値ではない,仁徳天皇第三皇子（履中天皇の同母弟）,仁徳天皇第三皇子（履中天皇の同母弟）
t019,19 允恭天皇,雄朝津間稚子宿禰尊,tenno,male,imperial,,,376?–453,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth,『日本書紀』系の伝承年譜。5世紀前半の天皇とされる,仁徳天皇第四皇子（反正天皇の同母弟）,仁徳天皇第四皇子（反正天皇の同母弟）
t020,20 安康天皇,穴穂尊,tenno,male,imperial,,,401?–456,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth,『日本書紀』系の伝承年譜。生年換算に不確実性,允恭天皇第二皇子（雄略天皇の同母兄）,允恭天皇第二皇子（雄略天皇の同母兄）
t021,21 雄略天皇,大泊瀬幼武尊,tenno,male,imperial,,,418–479,T_traditional,nihon_shoki_based;chronology_conversion;external_source_contact_t,『日本書紀』系の紀年。雄略天皇は倭王武への比定が有力だが、生年そのものは記紀紀年に基づく,ワカタケル大王・允恭天皇第五皇子,ワカタケル大王・允恭天皇第五皇子
p_kasuga_oiratsume,春日大娘皇女,春日大娘女,princess,female,imperial,,,,U_undated,genealogical_tradition,生没年不詳。記紀にみえる雄略天皇皇女・仁賢天皇皇后。手白香皇女・橘仲皇女・武烈天皇らの母とされる。,雄略天皇皇女・仁賢天皇皇后・手白香皇女の母,雄略天皇皇女・仁賢天皇皇后・手白香皇女の母
p_tachibana_nakatsuhime,橘仲皇女,橘之中比売命,princess,female,imperial,,,,U_undated,historical_period_known;chronicle_activity_only,生没年不詳。人物辞典では6世紀の人物。『日本書紀』では宣化天皇元年（536）に皇后となったとされる。,仁賢天皇皇女・石姫皇女の母,仁賢天皇皇女・母は春日大娘皇女・宣化天皇皇后・石姫皇女の母
u_senka_tachibana,,,marriage,,,,,,,,,宣化天皇・橘仲皇女の婚姻等関係節点,宣化天皇・橘仲皇女の婚姻等関係節点
u_ninken_kasuga,,,marriage,,,,,,,,,仁賢天皇・春日大娘皇女の婚姻等関係節点,仁賢天皇・春日大娘皇女の婚姻等関係節点
t022,22 清寧天皇,白髪大倭根子命,tenno,male,imperial,,,444?–484,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth;historicity_debated,『日本書紀』系の伝承年譜。日本大百科全書では生没年不詳,雄略天皇皇子・皇子女なし,雄略天皇皇子・皇子女なし・皇位継承の危機
p_ichinobe,磐坂市辺押磐皇子,市辺之忍歯王,prince,male,imperial,,,,U_undated,historical_period_known;genealogical_tradition,生没年不詳。日本大百科全書では5世紀中ごろの有力王族。『日本書紀』では雄略天皇に射殺されたと伝える。,履中天皇第一皇子（雄略天皇に殺害される）,履中天皇第一皇子（雄略天皇に殺害される）
t023,23 顕宗天皇,弘計尊,tenno,male,imperial,,,450–487,T_traditional,nihon_shoki_based;chronology_conversion,『日本書紀』系の伝承年譜,市辺押磐皇子第二男子,市辺押磐皇子第二男子（兄と共に逃亡後、発見され即位）
t024,24 仁賢天皇,億計尊,tenno,male,imperial,,,449–498,T_traditional,nihon_shoki_based;chronology_conversion,『日本書紀』系の伝承年譜,市辺押磐皇子第一男子（顕宗天皇の兄）,市辺押磐皇子第一男子（顕宗天皇の兄）
